date,code,quantity,avg_price,current_price,market_value,pnl_pct,pnl_amount,est_cost_pct,net_pnl_pct,high_watermark,trail_stop_price,entry_date,hold_days,hwm_pct
2026-04-03,003540,7,36350.00,36050.00,252350.00,-0.0083,-2100.00,0.0041,-0.0124,36650.00,32252.00,2026-04-03,0,0.0083
2026-04-03,005830,1,165600.00,162600.00,162600.00,-0.0181,-3000.00,0.0041,-0.0222,164800.00,145024.00,2026-04-03,0,-0.0048
2026-04-03,005930,1,184500.00,186700.00,186700.00,0.0119,2200.00,0.0041,0.0078,187000.00,164560.00,2026-04-03,0,0.0136
2026-04-03,005940,8,30500.00,30000.00,240000.00,-0.0164,-4000.00,0.0041,-0.0205,30550.00,26884.00,2026-04-03,0,0.0016
2026-04-03,005960,30,8430.00,8120.00,243600.00,-0.0368,-9300.00,0.0041,-0.0409,8420.00,7409.60,2026-04-03,0,-0.0012
2026-04-03,009970,1,220500.00,211500.00,211500.00,-0.0408,-9000.00,0.0041,-0.0449,221500.00,194920.00,2026-04-03,0,0.0045
2026-04-03,010950,2,106900.00,111400.00,222800.00,0.0421,9000.00,0.0041,0.0380,113000.00,99440.00,2026-04-03,0,0.0571
2026-04-03,011210,3,76200.00,76500.00,229500.00,0.0039,900.00,0.0041,-0.0002,77000.00,67760.00,2026-04-03,0,0.0105
2026-04-03,016360,2,94700.00,93500.00,187000.00,-0.0127,-2400.00,0.0041,-0.0168,95200.00,83776.00,2026-04-03,0,0.0053
2026-04-03,032830,1,226000.00,221500.00,221500.00,-0.0199,-4500.00,0.0041,-0.0240,225000.00,198000.00,2026-04-03,0,-0.0044
2026-04-03,035810,45,5550.00,5690.00,256050.00,0.0252,6300.00,0.0041,0.0211,5770.00,5077.60,2026-04-03,0,0.0396
2026-04-03,037460,9,28500.00,28500.00,256500.00,0.0000,0.00,0.0041,-0.0041,30050.00,26444.00,2026-04-03,0,0.0544
2026-04-03,055550,2,94200.00,91500.00,183000.00,-0.0287,-5400.00,0.0041,-0.0328,93500.00,82280.00,2026-04-03,0,-0.0074
2026-04-03,086280,1,212000.00,210500.00,210500.00,-0.0071,-1500.00,0.0041,-0.0112,211500.00,186120.00,2026-04-03,0,-0.0024
2026-04-03,139130,15,16990.00,16670.00,250050.00,-0.0188,-4800.00,0.0041,-0.0229,17020.00,14977.60,2026-04-03,0,0.0018
2026-04-03,211050,21,11900.00,11500.00,241500.00,-0.0336,-8400.00,0.0041,-0.0377,11820.00,10401.60,2026-04-03,0,-0.0067
2026-04-03,316140,7,32650.00,32100.00,224700.00,-0.0168,-3850.00,0.0041,-0.0209,32550.00,28644.00,2026-04-03,0,-0.0031
2026-04-06,003540,7,36350.00,35900.00,251300.00,-0.0124,-3150.00,0.0041,-0.0165,36650.00,32252.00,2026-04-03,3,0.0083
2026-04-06,005830,1,165600.00,162600.00,162600.00,-0.0181,-3000.00,0.0041,-0.0222,165200.00,145376.00,2026-04-03,3,-0.0024
2026-04-06,005930,1,184500.00,193250.00,193250.00,0.0474,8750.00,0.0041,0.0433,193400.00,170192.00,2026-04-03,3,0.0482
2026-04-06,005940,8,30500.00,30400.00,243200.00,-0.0033,-800.00,0.0041,-0.0074,31050.00,27324.00,2026-04-03,3,0.0180
2026-04-06,005960,30,8430.00,8110.00,243300.00,-0.0380,-9600.00,0.0041,-0.0421,8420.00,7409.60,2026-04-03,3,-0.0012
2026-04-06,009970,1,220500.00,203000.00,203000.00,-0.0794,-17500.00,0.0041,-0.0835,221500.00,194920.00,2026-04-03,3,0.0045
2026-04-06,010950,2,106900.00,118100.00,236200.00,0.1048,22400.00,0.0041,0.1007,120300.00,105864.00,2026-04-03,3,0.1254
2026-04-06,011210,3,76200.00,75600.00,226800.00,-0.0079,-1800.00,0.0041,-0.0120,77100.00,67848.00,2026-04-03,3,0.0118
2026-04-06,016360,2,94700.00,96100.00,192200.00,0.0148,2800.00,0.0041,0.0107,97800.00,86064.00,2026-04-03,3,0.0327
2026-04-06,032830,1,226000.00,226000.00,226000.00,0.0000,0.00,0.0041,-0.0041,228000.00,200640.00,2026-04-03,3,0.0088
2026-04-06,035810,45,5550.00,5660.00,254700.00,0.0198,4950.00,0.0041,0.0157,5770.00,5077.60,2026-04-03,3,0.0396
2026-04-06,037460,9,28500.00,27100.00,243900.00,-0.0491,-12600.00,0.0041,-0.0532,30050.00,26444.00,2026-04-03,3,0.0544
2026-04-06,055550,2,94200.00,93400.00,186800.00,-0.0085,-1600.00,0.0041,-0.0126,93900.00,82632.00,2026-04-03,3,-0.0032
2026-04-06,086280,1,212000.00,208500.00,208500.00,-0.0165,-3500.00,0.0041,-0.0206,212500.00,187000.00,2026-04-03,3,0.0024
2026-04-06,139130,15,16990.00,16810.00,252150.00,-0.0106,-2700.00,0.0041,-0.0147,17020.00,14977.60,2026-04-03,3,0.0018
2026-04-06,211050,21,11900.00,11330.00,237930.00,-0.0479,-11970.00,0.0041,-0.0520,11820.00,10401.60,2026-04-03,3,-0.0067
2026-04-06,316140,7,32650.00,32350.00,226450.00,-0.0092,-2100.00,0.0041,-0.0133,32550.00,28644.00,2026-04-03,3,-0.0031
2026-04-07,003540,7,36350.00,36200.00,253400.00,-0.0041,-1050.00,0.0041,-0.0082,36750.00,32340.00,2026-04-03,4,0.0110
2026-04-07,005830,1,165600.00,159900.00,159900.00,-0.0344,-5700.00,0.0041,-0.0385,165200.00,145376.00,2026-04-03,4,-0.0024
2026-04-07,005930,1,184500.00,196300.00,196300.00,0.0640,11800.00,0.0041,0.0599,200500.00,176440.00,2026-04-03,4,0.0867
2026-04-07,005940,8,30500.00,30450.00,243600.00,-0.0016,-400.00,0.0041,-0.0057,31550.00,27764.00,2026-04-03,4,0.0344
2026-04-07,005960,30,8430.00,7930.00,237900.00,-0.0593,-15000.00,0.0041,-0.0634,8420.00,7409.60,2026-04-03,4,-0.0012
2026-04-07,009970,1,220500.00,207500.00,207500.00,-0.0590,-13000.00,0.0041,-0.0631,221500.00,194920.00,2026-04-03,4,0.0045
2026-04-07,010950,2,106900.00,114500.00,229000.00,0.0711,15200.00,0.0041,0.0670,120300.00,105864.00,2026-04-03,4,0.1254
2026-04-07,011210,3,76200.00,75600.00,226800.00,-0.0079,-1800.00,0.0041,-0.0120,77100.00,67848.00,2026-04-03,4,0.0118
2026-04-07,016360,2,94700.00,95600.00,191200.00,0.0095,1800.00,0.0041,0.0054,98600.00,86768.00,2026-04-03,4,0.0412
2026-04-07,032830,1,226000.00,222000.00,222000.00,-0.0177,-4000.00,0.0041,-0.0218,233000.00,205040.00,2026-04-03,4,0.0310
2026-04-07,035810,45,5550.00,5570.00,250650.00,0.0036,900.00,0.0041,-0.0005,5770.00,5077.60,2026-04-03,4,0.0396
2026-04-07,037460,9,28500.00,26800.00,241200.00,-0.0596,-15300.00,0.0041,-0.0637,30050.00,26444.00,2026-04-03,4,0.0544
2026-04-07,055550,2,94200.00,91500.00,183000.00,-0.0287,-5400.00,0.0041,-0.0328,94500.00,83160.00,2026-04-03,4,0.0032
2026-04-07,086280,1,212000.00,207000.00,207000.00,-0.0236,-5000.00,0.0041,-0.0277,212500.00,187000.00,2026-04-03,4,0.0024
2026-04-07,139130,15,16990.00,16680.00,250200.00,-0.0182,-4650.00,0.0041,-0.0223,17220.00,15153.60,2026-04-03,4,0.0135
2026-04-07,211050,21,11900.00,11800.00,247800.00,-0.0084,-2100.00,0.0041,-0.0125,12090.00,10639.20,2026-04-03,4,0.0160
2026-04-07,316140,7,32650.00,31900.00,223300.00,-0.0230,-5250.00,0.0041,-0.0271,32900.00,28952.00,2026-04-03,4,0.0077
2026-04-08,003540,7,36350.00,38100.00,266700.00,0.0481,12250.00,0.0041,0.0440,38300.00,33704.00,2026-04-03,5,0.0536
2026-04-08,005830,1,165600.00,167200.00,167200.00,0.0097,1600.00,0.0041,0.0056,172000.00,151360.00,2026-04-03,5,0.0386
2026-04-08,005930,1,184500.00,211000.00,211000.00,0.1436,26500.00,0.0041,0.1395,214250.00,188540.00,2026-04-03,5,0.1612
2026-04-08,005940,8,30500.00,33700.00,269600.00,0.1049,25600.00,0.0041,0.1008,34350.00,30228.00,2026-04-03,5,0.1262
